Vehicle_Type,Public Vehicle Number,Status,Vehicle_Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,State,Record ID
Taxi,3515,ACTIVE,TOYOTA,CAMRY,2010,WHITE,Hybrid,N,JEFF CAB CO,CHICAGO,IL,3515Taxi
Taxi,6712,ACTIVE,TOYOTA,CAMRY,2014,BLUE,Hybrid,N,MESO HACKING CORP.,CHICAGO,IL,6712Taxi
Taxi,2404,ACTIVE,TOYOTA,PRIUS,2010,WHITE,Hybrid,N,ZARIFEH INC.,CHICAGO,IL,2404Taxi
Taxi,388,ACTIVE,NISSAN,ALTIMA,2010,ORANGE/BLUE,Hybrid,N,DEKA CAB CORP,CHICAGO,IL,388Taxi
Taxi,4452,ACTIVE,FORD,ESCAPE,2011,WHITE,Compressed Natural Gas,N,REX 10 INC,CHICAGO,IL,4452Taxi
Taxi,2937,ACTIVE,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,GILL TAXI COMPANY,CHICAGO,IL,2937Taxi
Taxi,5980,ACTIVE,NISSAN,ALTIMA,2010,ORANGE/BLUE,Hybrid,N,DOVE TWO TAXI CORP.,CHICAGO,IL,5980Taxi
Taxi,6328,ACTIVE,TOYOTA,PRIUS,2014,GOLD,Hybrid,N,NANEFFE INC.,CHICAGO,IL,6328Taxi
Livery,9638,ACTIVE,CADILLAC,XTS,2014,BLACK,Gasoline,N,DIMITAR S KOLAROV,CHICAGO,IL,9638Livery
Taxi,4465,ACTIVE,TOYOTA,PRIUS,2010,WHITE/BLUE/STRIPES,Hybrid,N,"OVI CAB CO., INC.",CHICAGO,IL,4465Taxi
Livery,7643,ACTIVE,LINCOLN,MKS,2014,BLACK,Gasoline,N,RAUL LUNA,CHICAGO,IL,7643Livery
Taxi,3231,INACTIVE,DODGE,INTREPID,2000,WHITE/RED/STRIPES,Gasoline,N,WILLIE COOK JR,CHICAGO,IL,3231Taxi
Livery,7751,ACTIVE,LINCOLN,MKT,2014,BLACK,Gasoline,N,CAMBRIDGE EXCUTIVE LIMOUSINE INC,CHICAGO,IL,7751Livery
Taxi,5412,ACTIVE,TOYOTA,PRIUS,2011,WHITE,Gasoline,N,"BUBICA, CORP.",CHICAGO,IL,5412Taxi
Taxi,2897,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,SYED CORPORATION,CHICAGO,IL,2897Taxi
Charter Sightseeing,9370,RESERVED,FORD,EXCURSION,2005,WHITE,Gasoline,N,EMPIRE LIMOUSINE INC,CHICAGO,IL,9370Charter Sightseeing
Taxi,5807,ACTIVE,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,BERLINETTA TAXI LLC,CHICAGO,IL,5807Taxi
Taxi,619,ACTIVE,FORD,ESCAPE,2011,YELLOW,Compressed Natural Gas,N,NECT 44 LLC,CHICAGO,IL,619Taxi
Ambulance,5398,ACTIVE,FORD,E350,2010,WHITE/BLUE LETTERS,Gasoline,N,AMBULANCE TRANSPORTATION INC,TINLEY PARK,IL,5398Ambulance
Livery,8249,ACTIVE,LINCOLN,NAVIGATOR,2012,BLACK,Gasoline,N,JKS LIMOUSINES LLC.,CHICAGO,IL,8249Livery
Ambulance,5718,INACTIVE,FORD,E350,2010,BLACK,Gasoline,N,"MIDWEST MEDICAL SERVICE, INC.",CHICAGO,IL,5718Ambulance
Ambulance,5246,RESERVED,FORD,E350,2006,RED/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,5246Ambulance
Livery,7184,ACTIVE,LINCOLN,MKS,2013,BLACK,Gasoline,N,ALBERT'S CHAUFFEURING INC,CHICAGO,IL,7184Livery
Livery,8941,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,"MARKETING ECONOMICS, INC",CHICAGO,IL,8941Livery
Livery,8224,ACTIVE,CADILLAC,XTS,2015,BLACK,Gasoline,N,CAREY LIMOUSINE CHICAGO INC,CHICAGO,IL,8224Livery
Taxi,5269,ACTIVE,TOYOTA,PRIUS,2010,WHITE/BLUE,Hybrid,N,TAZANGI CAB CO,CHICAGO,IL,5269Taxi
Ambulance,817735,ACTIVE,FORD,E350,2013,WHITE,Gasoline,N,"LIFELINE AMBULANCE, LLC",CHICAGO,IL,817735Ambulance
Taxi,4682,ACTIVE,TOYOTA,CAMRY,2014,YELLOW,Hybrid,N,ELSTON TWENTY ONE LLC,CHICAGO,IL,4682Taxi
Taxi,408,ACTIVE,TOYOTA,CAMRY,2012,YELLOW,Hybrid,N,KAMAL CAB CO.,CHICAGO,IL,408Taxi
Livery,8668,ACTIVE,GMC,YUKON,2014,BLACK,Gasoline,N,DANAYAL LIMOUSINE INC.,CHICAGO,IL,8668Livery
Taxi,328,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,8TH AVENUE TAXI CORP.,CHICAGO,IL,328Taxi
Medicar,5022,RESERVED,FORD,E350,2003,WHITE,Gasoline,N,PROGRESSIVE II INC.,CHICAGO,IL,5022Medicar
Livery,7050,ACTIVE,CADILLAC,XTS,2014,BLACK,Gasoline,N,CAREY LIMOUSINE CHICAGO INC,CHICAGO,IL,7050Livery
Taxi,1282,ACTIVE,TOYOTA,CAMRY,2010,ORANGE/BLUE,Hybrid,N,CHALLENGER TAXI LLC,CHICAGO,IL,1282Taxi
Taxi,4384,ACTIVE,FORD,ESCAPE,2011,YELLOW,Compressed Natural Gas,N,"NECT 3, INC",CHICAGO,IL,4384Taxi
Taxi,1637,ACTIVE,TOYOTA,CAMRY,2011,YELLOW,Hybrid,N,NAPOSAR INC,CHICAGO,IL,1637Taxi
Taxi,5122,ACTIVE,NISSAN,ROGUE,2013,WHITE/RED/STRIPES,Gasoline,N,ALLIVE TAXI INC,CHICAGO,IL,5122Taxi
Taxi,2570,ACTIVE,TOYOTA,PRIUS,2013,GRAY/WHITE,Hybrid,N,DABAT CAB CO,CHICAGO,IL,2570Taxi
Livery,7990,ACTIVE,LINCOLN,TOWN CAR,2008,BLACK,Gasoline,N,CLUB CHITOWN LIMOUSINE INC,CHICAGO,IL,7990Livery
Livery,7116,ACTIVE,CADILLAC,ESCALADE,2013,BLACK,Gasoline,N,KURT PATRICK GARZA,CHICAGO,IL,7116Livery
