Vehicle_Type,Public Vehicle Number,Status,Vehicle_Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,State,Record ID
Taxi,5644,ACTIVE,TOYOTA,CAMRY,2010,YELLOW,Hybrid,N,"LINCOLNSHIRE SERVICE II, CORP.",CHICAGO,IL,5644Taxi
Livery,8287,ACTIVE,CHEVROLET,SUBURBAN,2013,BLACK,Gasoline,N,LAKESHORE LIMO INC.,CHICAGO,IL,8287Livery
Charter Sightseeing,12259,RESERVED,FORD,EXPEDITION,2007,WHITE,Gasoline,N,CLUB CHITOWN LIMOUSINE INC,CHICAGO,IL,12259Charter Sightseeing
Livery,9752,ACTIVE,CHRYSLER,E350,2013,BLACK,Gasoline,N,"CHICAGO CHAUFFEURS LIMOUSINE, INC.",CHICAGO,IL,9752Livery
Taxi,6610,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO POLO I INC.,CHICAGO,IL,6610Taxi
Taxi,1917,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,AMPLE SUN CAB CORP.,CHICAGO,IL,1917Taxi
Medicar,7477,ACTIVE,FORD,E250,2010,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,SKOKIE,IL,7477Medicar
Taxi,4063,ACTIVE,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,ZEN TAXI LLC,CHICAGO,IL,4063Taxi
Taxi,6461,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,DOLFINA TAXI INC,CHICAGO,IL,6461Taxi
Taxi,2767,ACTIVE,TOYOTA,CAMRY,2013,BLUE/WHITE,Hybrid,N,SEYED M. BADRI,CHICAGO,IL,2767Taxi
Livery,7151,ACTIVE,FORD,EXPEDITION,2014,BLACK,Gasoline,N,"LIMO4U, INC.",CHICAGO,IL,7151Livery
Livery,8212,ACTIVE,CADILLAC,XTS,2015,BLACK,Gasoline,N,ESSENCE OF LIVERY INC,CHICAGO,IL,8212Livery
Taxi,1937,ACTIVE,TOYOTA,CAMRY,2014,YELLOW,Hybrid,N,YAKUB CAB CO,CHICAGO,IL,1937Taxi
Taxi,2538,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,TEL AVIV CAB CORP.,CHICAGO,IL,2538Taxi
Taxi,1093,ACTIVE,VPG,MV-1,2012,YELLOW,Compressed Natural Gas,Y,YC18 LLC,CHICAGO,IL,1093Taxi
Taxi,4653,ACTIVE,FORD,ESCAPE,2011,YELLOW,Hybrid,N,NECT 25 LLC,CHICAGO,IL,4653Taxi
Livery,7603,RESERVED,LINCOLN,TOWN CAR,2009,BLACK,Gasoline,N,"HIGH STANDARDS CAR SERVICES, INC.",CHICAGO,IL,7603Livery
Taxi,6659,ACTIVE,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,SREE CAB CO,CHICAGO,IL,6659Taxi
Taxi,557,ACTIVE,TOYOTA,CAMRY,2012,WHITE/BLUE/STRIPES,Hybrid,N,PINDY CAB CO.,CHICAGO,IL,557Taxi
Livery,9703,INACTIVE,LINCOLN,TOWN CAR,2007,BLACK,Gasoline,N,ASKEW EXECUTIVE LIMOUSINE INC,CHICAGO,IL,9703Livery
Medicar,6759,RESERVED,FORD,E150,2007,WHITE,Gasoline,N,Joiner Enterprises Inc,CHICAGO,IL,6759Medicar
Taxi,3661,ACTIVE,DODGE,CARAVAN,2013,WHITE/BLUE,Compressed Natural Gas,N,DAEM RIDE INC.,CHICAGO,IL,3661Taxi
Taxi,4151,ACTIVE,TOYOTA,PRIUS,2012,YELLOW,Hybrid,N,N & M CENTRAL TRANSPORTATION INC.,CHICAGO,IL,4151Taxi
Taxi,661,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,MEDALLION FUNDING CHICAGO CORP I,CHICAGO,IL,661Taxi
Livery,7010,RESERVED,FORD,EXPEDITION,2007,BLACK,Gasoline,N,CHICAGO LAND LUXURY LIMOUSINE INC,CHICAGO,IL,7010Livery
Taxi,4394,ACTIVE,TOYOTA,PRIUS,2012,YELLOW,Hybrid,N,KELLY CAB CO,CHICAGO,IL,4394Taxi
Livery,7469,ACTIVE,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,FREDDY LIMO & MORE INC,CHICAGO,IL,7469Livery
Livery,8995,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,"GRAYWOLF, INC.",CHICAGO,IL,8995Livery
Medicar,7017,INACTIVE,FORD,E150,2009,WHITE,Gasoline,N,"SPECIALTY NEEDS TRANSPORTATION, INC.",TINLEY PARK,IL,7017Medicar
Livery,8497,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,BUDGET LIMOUSINE SERVICES INC,CHICAGO,IL,8497Livery
Taxi,116,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,KOSHECHKA TAXI INC,CHICAGO,IL,116Taxi
Taxi,6036,ACTIVE,TOYOTA,PRIUS,2013,WHITE/STARS/STRIPES,Hybrid,N,NEJA CAB CO,CHICAGO,IL,6036Taxi
Taxi,5574,ACTIVE,NISSAN,ALTIMA,2011,WHITE/BLUE/STRIPES,Hybrid,N,ZEEBA CORP,CHICAGO,IL,5574Taxi
Taxi,3059,ACTIVE,TOYOTA,PRIUS,2012,GRAY/WHITE,Hybrid,N,PEACE INC.,CHICAGO,IL,3059Taxi
Livery,8625,ACTIVE,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,PREMIER INC,MUNDELEIN,IL,8625Livery
Taxi,4895,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,SHOWERS II HACKING CORP,CHICAGO,IL,4895Taxi
Taxi,3914,ACTIVE,TOYOTA,PRIUS,2014,CREAM/GREEN,Hybrid,N,NEW AMSTERDAM LEASING CORP.,CHICAGO,IL,3914Taxi
Taxi,3525,ACTIVE,TOYOTA,PRIUS,2014,MAROON/BLUE/STRIPES,Hybrid,N,SAMSON CAB CORP.,CHICAGO,IL,3525Taxi
Taxi,6700,SURRENDER,TOYOTA,PRIUS,2010,WHITE/BLUE/STRIPES,Hybrid,N,BKS HACKING CHICAGO CORP.,CHICAGO,IL,6700Taxi
Taxi,3844,ACTIVE,TOYOTA,CAMRY,2012,YELLOW,Hybrid,N,NECT 21 LLC,CHICAGO,IL,3844Taxi
Taxi,2654,ACTIVE,TOYOTA,PRIUS,2013,WHITE/BLUE/STRIPES,Hybrid,N,AUJLA CAB CO,CHICAGO,IL,2654Taxi
Livery,8228,ACTIVE,CADILLAC,XTS,2014,BLACK,Gasoline,N,CHICAGO CITY STAR CO,CHICAGO,IL,8228Livery
Taxi,297,ACTIVE,TOYOTA,SCION,2011,YELLOW,Gasoline,N,RAHIM TAXICAB INC,CHICAGO,IL,297Taxi
Livery,8834,INACTIVE,LINCOLN,TOWN CAR,2004,BLACK,Gasoline,N,ROMAN SLIVICH,CHICAGO,IL,8834Livery
Ambulance,5510,ACTIVE,MERCEDES,SPRINTER,2012,ORANGE/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,5510Ambulance
Livery,8847,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,ALLIANCE  LIMO INC.,CHICAGO,IL,8847Livery
Taxi,2317,ACTIVE,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,FLAMINGO TRANSIT CORP,CHICAGO,IL,2317Taxi
Livery,7894,ACTIVE,CADILLAC,SRX,2013,BLACK,Gasoline,N,TUDOR CIURESCU,CHICAGO,IL,7894Livery
Taxi,6292,ACTIVE,TOYOTA,PRIUS,2013,YELLOW,Hybrid,N,BRIANA CABS TWO INC,CHICAGO,IL,6292Taxi
Taxi,5922,ACTIVE,TOYOTA,CAMRY,2013,GRAY/WHITE,Hybrid,N,SUMETTI CAB CORP.,CHICAGO,IL,5922Taxi
Taxi,1998,ACTIVE,TOYOTA,PRIUS,2013,YELLOW,Hybrid,N,NATASHA TRANSPORTATION INC.,CHICAGO,IL,1998Taxi
Taxi,3290,ACTIVE,NISSAN,ALTIMA,2011,YELLOW,Hybrid,N,MC-HAS-VIBGYOR CORP,CHICAGO,IL,3290Taxi
Taxi,6537,ACTIVE,FORD,ESCAPE,2012,MAROON/GREEN/STRIPES,Hybrid,N,BLUE EYES CAB CORP.,CHICAGO,IL,6537Taxi
Taxi,294,ACTIVE,TOYOTA,RAV4,2012,WHITE,Gasoline,N,CAPRICORN CAB INC,CHICAGO,IL,294Taxi
Taxi,5904,ACTIVE,FORD,ESCAPE,2011,BLUE/WHITE,Hybrid,N,SARDAR BAIG ENTERPRISES INC,CHICAGO,IL,5904Taxi
Taxi,2010,ACTIVE,TOYOTA,SCION,2012,BLUE,Gasoline,N,KALIB 2010 INC.,CHICAGO,IL,2010Taxi
Taxi,4027,ACTIVE,TOYOTA,PRIUS,2012,WHITE,Hybrid,N,ROBOTICS CAB CO,CHICAGO,IL,4027Taxi
Taxi,1554,ACTIVE,FORD,ESCAPE,2011,GRAY/WHITE,Gasoline,N,"CHICAGO CAB, INC. #1",CHICAGO,IL,1554Taxi
Taxi,4336,ACTIVE,TOYOTA,CAMRY,2013,YELLOW,Hybrid,N,OYINS INC,CHICAGO,IL,4336Taxi
Livery,7803,ACTIVE,CADILLAC,ESCALADE,2013,BLACK,Gasoline,N,CAREY LIMOUSINE CHICAGO INC,CHICAGO,IL,7803Livery
Taxi,2367,SURRENDER,NISSAN,ALTIMA,2009,WHITE/BLUE/STRIPES,Gasoline,N,MIKHALIA CABS FOUR INC.,CHICAGO,IL,2367Taxi
Charter Sightseeing,13153,INACTIVE,FORD,E350,2008,WHITE,Gasoline,N,ARIES SHUTTLE CHICAGO LLC,CHICAGO,IL,13153Charter Sightseeing
Charter Sightseeing,9358,INACTIVE,CHEVROLET,ELDORADO BUS,2005,WHITE,Gasoline,N,CHICAGO MINIBUS TRAVEL INC.,CHIICAGO,IL,9358Charter Sightseeing
Taxi,2752,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,2752 TAXI CORP.,CHICAGO,IL,2752Taxi
Taxi,3166,ACTIVE,TOYOTA,CAMRY,2010,ORANGE/BLUE,Hybrid,N,FRANKLIN TAXI LLC,CHICAGO,IL,3166Taxi
Ambulance,5422,ACTIVE,FORD,E350,2009,BLUE/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,5422Ambulance
Livery,8247,ACTIVE,CHRYSLER,300SER,2013,BLACK,Gasoline,N,EXECUTIVE ONE LIMOUSINE INC,CHICAGO,IL,8247Livery
Taxi,3418,ACTIVE,TOYOTA,RAV4,2012,GRAY/WHITE,Gasoline,N,JHAPS TAXI CORP,CHICAGO,IL,3418Taxi
Taxi,1154,ACTIVE,TOYOTA,CAMRY,2011,WHITE,Hybrid,N,BLUE GARDEN CAB CORPORATION,CHICAGO,IL,1154Taxi
Taxi,1206,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,DILAN CAB CORP.,CHICAGO,IL,1206Taxi
Taxi,6153,ACTIVE,TOYOTA,CAMRY,2012,BLUE/WHITE,Hybrid,N,MAI-BELLA INC,CHICAGO,IL,6153Taxi
Taxi,6286,ACTIVE,TOYOTA,CAMRY,2011,YELLOW,Hybrid,N,BRIANA CABS TWO INC,CHICAGO,IL,6286Taxi
Taxi,6907,ACTIVE,NISSAN,ALTIMA,2009,ORANGE/BLUE,Hybrid,N,CITY TAXI INC.,CHICAGO,IL,6907Taxi
Livery,8129,ACTIVE,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,D T & C GLOBAL MANAGEMENT LLC,CHICAGO,IL,8129Livery
Taxi,5278,ACTIVE,FORD,C-MAX,2013,ORANGE/BLUE,Hybrid,N,LEEDS TAXI LLC,CHICAGO,IL,5278Taxi
Taxi,1923,ACTIVE,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,"BLACK ROSE, INC.",CHICAGO,IL,1923Taxi
Taxi,2982,ACTIVE,TOYOTA,RAV4,2013,BLUE,Gasoline,N,SNY CAB INC,CHICAGO,IL,2982Taxi
Taxi,2941,ACTIVE,NISSAN,ALTIMA,2010,ORANGE/BLUE,Hybrid,N,TRIBECA TWO CAB CORP.,CHICAGO,IL,2941Taxi
Livery,9929,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,CHICAGO TRAVELLERS LIMOUSINE INC,CHICAGO,IL,9929Livery
Ambulance,5658,ACTIVE,CHEVROLET,EXPRESS,2008,RED/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,5658Ambulance
Taxi,3524,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,EAJJU INC.,CHICAGO,IL,3524Taxi
Taxi,5246,ACTIVE,TOYOTA,SCION,2012,BLUE/WHITE,Gasoline,N,SAVE RAINFORESTS INC,CHICAGO,IL,5246Taxi
Taxi,3176,ACTIVE,FORD,C-MAX,2013,ORANGE/BLUE,Hybrid,N,TRIPOLI TAXI LLC,CHICAGO,IL,3176Taxi
Taxi,6512,ACTIVE,TOYOTA,PRIUS,2012,CREAM/GREEN,Hybrid,N,JUMANI ENTERPRISES INC.,CHICAGO,IL,6512Taxi
Taxi,4567,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,COBRA CAB CO,CHICAGO,IL,4567Taxi
Livery,9301,ACTIVE,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,"WWA LIMO, INC.",CHICAGO,IL,9301Livery
Taxi,3812,ACTIVE,TOYOTA,CAMRY,2012,YELLOW,Hybrid,N,ZEESHAN CORP,CHICAGO,IL,3812Taxi
Taxi,2245,ACTIVE,FORD,ESCAPE,2010,WHITE,Hybrid,N,ROMA CAB CO,CHICAGO,IL,2245Taxi
Taxi,3118,ACTIVE,TOYOTA,PRIUS,2010,WHITE/BLUE/STRIPES,Hybrid,N,DELL CAB COMPANY,CHICAGO,IL,3118Taxi
Taxi,2043,ACTIVE,TOYOTA,PRIUS,2013,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO SEVEN CAB INC,CHICAGO,IL,2043Taxi
Livery,8379,ACTIVE,GMC,YUKON,2013,BLACK,Gasoline,N,A 1 LIMO RIDE INC,CHICAGO,IL,8379Livery
Livery,7303,ACTIVE,FORD,EXPEDITION,2014,BLACK,Gasoline,N,METROPOLITAN LIMOUSINE INC.,CHICAGO,IL,7303Livery
Taxi,6354,ACTIVE,TOYOTA,CAMRY,2012,YELLOW,Hybrid,N,PAK-AMERICAN TAXICAB INC,CHICAGO,IL,6354Taxi
Livery,8138,ACTIVE,LINCOLN,MKT,2014,BLACK,Gasoline,N,TRANGE FRANGE INC,CHICAGO,IL,8138Livery
Taxi,5256,ACTIVE,FORD,ESCAPE,2010,YELLOW,Hybrid,N,VASKEN CAB INC,CHICAGO,IL,5256Taxi
Taxi,350,ACTIVE,TOYOTA,SCION,2012,CREAM/GREEN,Hybrid,N,BABY BLUE CAB CORP.,CHICAGO,IL,350Taxi
Ambulance,5306,ACTIVE,MERCEDES,SPRINTER,2013,RED/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,5306Ambulance
Livery,7921,RESERVED,LINCOLN,NAVIGATOR,2015,BLACK,Gasoline,N,NORTHBROOK LIMOUSINE INC,CHICAGO,IL,7921Livery
Taxi,2200,ACTIVE,TOYOTA,SCION,2011,WHITE,Gasoline,N,STENO CAB CO,CHICAGO,IL,2200Taxi
Ambulance,5174,INACTIVE,FORD,E250,2008,BLACK,Gasoline,N,TOWER AMBULANCE,CHICAGO,IL,5174Ambulance
Taxi,5155,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,THIN ICE HACKING CORP.,CHICAGO,IL,5155Taxi
Taxi,3230,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,FULL MOON CAB COMPANY,CHICAGO,IL,3230Taxi
Taxi,1363,ACTIVE,TOYOTA,PRIUS,2013,YELLOW,Hybrid,N,LMN 5TH AVENUE CORP.,CHICAGO,IL,1363Taxi
Livery,9159,ACTIVE,FORD,EXPEDITION,2013,BLACK,Gasoline,N,LUXURY CHICAGO LIMO INC,CHICAGO,IL,9159Livery
Taxi,1778,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,SEVEN DAY CAB CO,CHICAGO,IL,1778Taxi
Taxi,4307,ACTIVE,TOYOTA,CAMRY,2012,BLUE/WHITE,Hybrid,N,SHERE CORP,CHICAGO,IL,4307Taxi
Medicar,6691,INACTIVE,FORD,E450,2004,WHITE,Gasoline,N,NEAL'S TRANSPORTATION  INC,CHICAGO,IL,6691Medicar
Taxi,5916,ACTIVE,TOYOTA,CAMRY,2011,GRAY/WHITE,Hybrid,N,3860 TAXI CORP,CHICAGO,IL,5916Taxi
Livery,7240,ACTIVE,LINCOLN,TOWN CAR,2010,BLACK,Gasoline,N,JAVIER PENARANDA,CHICAGO,IL,7240Livery
Taxi,6983,INACTIVE,FORD,E250,2013,BLACK,Gasoline,N,CITY OF CHICAGO BACP,CHICAGO,IL,6983Taxi
Livery,8003,ACTIVE,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,ALEXANDER LIMOUSINE SERV INC,CHICAGO,IL,8003Livery
Taxi,5015,ACTIVE,HONDA,CRV,2011,WHITE,Gasoline,N,SUPER SEVEN CAB COMPANY,CHICAGO,IL,5015Taxi
Taxi,364,ACTIVE,FORD,FUSION,2014,YELLOW,Hybrid,N,NECT 31 LLC,CHICAGO,IL,364Taxi
Ambulance,5506,RESERVED,MERCEDES,SPRINTER,2013,RED/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,5506Ambulance
Taxi,3659,SURRENDER,TOYOTA,PRIUS,2010,YELLOW,Hybrid,N,MAROM CAB CORP.,CHICAGO,IL,3659Taxi
Taxi,4778,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,MISHA CAT CAB CORP,CHICAGO,IL,4778Taxi
Livery,8779,ACTIVE,INFINITI,M 37X,2011,BLACK,Gasoline,N,CHICAGO BLACK CAR INC,CHICAGO,IL,8779Livery
Taxi,6545,ACTIVE,TOYOTA,PRIUS,2013,BLUE/WHITE,Gasoline,N,ERI TRANS INC.,CHICAGO,IL,6545Taxi
Taxi,6888,ACTIVE,TOYOTA,SCION,2011,CREAM/GREEN,Gasoline,N,APOPO LLC,CHICAGO,IL,6888Taxi
Taxi,5791,ACTIVE,FORD,ESCAPE,2012,CREAM/GREEN,Hybrid,N,BABY MASON INC.,CHICAGO,IL,5791Taxi
Livery,9218,ACTIVE,GMC,YUKON,2013,BLACK,Gasoline,N,ATLAS LIMOUSINE  SERVICE,CHICAGO,IL,9218Livery
Taxi,6338,ACTIVE,TOYOTA,PRIUS,2014,YELLOW,Hybrid,N,YA-HADI CAB CO,CHICAGO,IL,6338Taxi
Medicar,7498,INACTIVE,DODGE,CARAVAN,2005,WHITE,Gasoline,N,BRANTLEY ENTERPRISES INC,CHICAGO,IL,7498Medicar
Taxi,5338,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,SAHARAN CAB INC,CHICAGO,IL,5338Taxi
Livery,9916,ACTIVE,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,LUCKY LIVERY SERVICE INC,CHICAGO,IL,9916Livery
Livery,9844,ACTIVE,FORD,EXPEDITION,2009,BLACK,Gasoline,N,CHICAGO DIAMOND LIMOUSINE INC,CHICAGO,IL,9844Livery
Livery,8108,VIOLATION,LINCOLN,MKS,2009,BLACK,Gasoline,N,OB ELITE TRANSPORTATION COMPANY,CHICAGO,IL,8108Livery
Taxi,5396,ACTIVE,TOYOTA,CAMRY,2013,YELLOW,Hybrid,N,N & M ST. TROPEZ HACKING CORP.,CHICAGO,IL,5396Taxi
Livery,7487,ACTIVE,CHEVROLET,SUBURBAN,2014,BLACK,Gasoline,N,A LIMO FOR YOU CORPORATION,CHICAGO,IL,7487Livery
Taxi,3552,ACTIVE,VPG,MV-1,2012,CREAM/GREEN,Compressed Natural Gas,Y,HONDURAS CAB CORP.,CHICAGO,IL,3552Taxi
Taxi,3285,ACTIVE,TOYOTA,PRIUS,2012,MAROON/GOLD/STRIPES,Hybrid,N,BROWN EYES CAB CORP.,CHICAGO,IL,3285Taxi
Livery,9398,ACTIVE,GMC,YUKON,2013,BLACK,Gasoline,N,CHICAGO WORLDWIDE LIMO LLC,CHICAGO,IL,9398Livery
Livery,8026,VIOLATION,LINCOLN,TOWN CAR,2010,WHITE,Gasoline,N,LASALLE LIMOUSINE INC.,CHICAGO,IL,8026Livery
Taxi,3788,ACTIVE,TOYOTA,CAMRY,2010,WHITE,Hybrid,N,THE GREATEST NAME INC,CHICAGO,IL,3788Taxi
Livery,7674,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,CHICAGO EMPIRE LIMOUSINE INC,CHICAGO,IL,7674Livery
Taxi,3602,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,TRANZIT INC.,CHICAGO,IL,3602Taxi
Taxi,773,ACTIVE,TOYOTA,PRIUS,2015,YELLOW,Hybrid,N,BEBE VICTOR INC,CHICAGO,IL,773Taxi
Taxi,5508,ACTIVE,TOYOTA,CAMRY,2010,YELLOW,Hybrid,N,"HEART 7, INC",CHICAGO,IL,5508Taxi
Taxi,3675,ACTIVE,TOYOTA,CAMRY,2012,YELLOW,Hybrid,N,M Y TRANS INC,CHICAGO,IL,3675Taxi
Medicar,7788,ACTIVE,FORD,E250,2010,WHITE,Gasoline,N,ILLINOIS MEDI-CAR INC,ELMHURST,IL,7788Medicar
Taxi,4146,ACTIVE,FORD,CROWN VICTORIA,2010,GRAY/WHITE,Flex Fuel,N,NATZAC CORP. #1,CHICAGO,IL,4146Taxi
Livery,8875,INACTIVE,LINCOLN,TOWN CAR,2004,BLACK,Gasoline,N,TRANSPORTATION SERVICES PARTNERS LLC,CHICAGO,IL,8875Livery
Taxi,1602,ACTIVE,TOYOTA,CAMRY,2014,CREAM/GREEN,Hybrid,N,GIGI TAXI INC,CHICAGO,IL,1602Taxi
Taxi,5247,ACTIVE,TOYOTA,CAMRY,2010,BLUE,Hybrid,N,GEBAR EXPRESS INC.,CHICAGO,IL,5247Taxi
Livery,8396,INACTIVE,LINCOLN,TOWN CAR,1998,BLACK,Gasoline,N,SHAHEEN INC.,CHICAGO,IL,8396Livery
Taxi,5011,ACTIVE,TOYOTA,SIENNA,2012,CREAM/GREEN,Gasoline,N,BIZCO INTERNATIONAL INC.,CHICAGO,IL,5011Taxi
Taxi,6625,ACTIVE,TOYOTA,CAMRY,2013,BLUE/WHITE,Hybrid,N,"NIKE YOMI, INC.",CHICAGO,IL,6625Taxi
Taxi,2343,ACTIVE,FORD,FUSION,2012,WHITE,Hybrid,N,ADRIAN INC.,CHICAGO,IL,2343Taxi
Taxi,80,ACTIVE,DODGE,GRAND CARAVAN,2012,BLUE/WHITE,Compressed Natural Gas,Y,MCCAB XII CORP.,CHICAGO,IL,80Taxi
Taxi,3242,ACTIVE,FORD,FUSION,2014,WHITE/RED/STRIPES,Hybrid,N,TOM RIZA SHURDHI,CHICAGO,IL,3242Taxi
Livery,9180,ACTIVE,MERCEDES,E350,2012,BLACK,Gasoline,N,IONUT P CRETU,CHICAGO,IL,9180Livery
Livery,9162,ACTIVE,CHEVROLET,SUBURBAN,2015,BLACK,Gasoline,N,AM LIMO LLC,CHICAGO,IL,9162Livery
Taxi,625,ACTIVE,FORD,FUSION,2012,YELLOW,Hybrid,N,NECT 26 LLC,CHICAGO,IL,625Taxi
Livery,7343,ACTIVE,LINCOLN,TOWN CAR,2010,BLACK,Gasoline,N,EMPIRE LIMOUSINE INC,CHICAGO,IL,7343Livery
Livery,7568,ACTIVE,FORD,EXPEDITION,2014,BLACK,Gasoline,N,METROPOLITAN LIMOUSINE INC.,CHICAGO,IL,7568Livery
Livery,7847,ACTIVE,CADILLAC,XTS,2014,BLACK,Gasoline,N,ISLOM ABDURAKHMONOV,CHICAGO,IL,7847Livery
Taxi,341,ACTIVE,TOYOTA,PRIUS,2013,YELLOW,Hybrid,N,IL 11 CORP,CHICAGO,IL,341Taxi
Taxi,1981,ACTIVE,TOYOTA,CAMRY,2014,CREAM/GREEN,Hybrid,N,CHICAGO UNITED CAB CO,CHICAGO,IL,1981Taxi
Taxi,6955,ACTIVE,DODGE,GRAND CARAVAN,2013,WHITE,Compressed Natural Gas,Y,MIRZASULEMAN CORP,CHICAGO,IL,6955Taxi
Taxi,4746,ACTIVE,TOYOTA,CAMRY,2014,BLUE/WHITE,Hybrid,N,MUHAMMAD S. AKBAR,CHICAGO,IL,4746Taxi
Taxi,4085,ACTIVE,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,GLENDALE TAXI LLC,CHICAGO,IL,4085Taxi
Ambulance,5635,RESERVED,FORD,E350,2006,WHITE/RED,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,5635Ambulance
Livery,8881,ACTIVE,CADILLAC,XTS,2013,BLACK,Gasoline,N,RIVER LIMOUSINE INC.,CHICAGO,IL,8881Livery
Taxi,6658,ACTIVE,TOYOTA,SCION,2012,BLUE/WHITE,Gasoline,N,SOURCE CAB CO.,CHICAGO,IL,6658Taxi
Taxi,4788,ACTIVE,TOYOTA,SIENNA,2011,WHITE,Gasoline,N,"LAVESIAC, INC.",CHICAGO,IL,4788Taxi
Livery,8002,ACTIVE,LINCOLN,MKS,2014,BLACK,Gasoline,N,CHICAGO POSH LIMOUSINE INC,CHICAGO,IL,8002Livery
Taxi,3650,ACTIVE,NISSAN,ALTIMA,2010,ORANGE/BLUE,Hybrid,N,CITY TAXI INC.,CHICAGO,IL,3650Taxi
Ambulance,872526,ACTIVE,FORD,E350,2014,WHITE,Gasoline,N,1ST RESPONSE EMS INC.,CHICAGO,IL,872526Ambulance
Livery,8116,VIOLATION,CHEVROLET,SUBURBAN,2014,BLACK,Gasoline,N,JOSE C GONZALEZ,CHICAGO,IL,8116Livery
Taxi,5764,ACTIVE,DODGE,GRAND CARAVAN,2014,GRAY/WHITE,Gasoline,N,ADDIS FLOWER TAXI CAB SERVICE INC,CHICAGO,IL,5764Taxi
Livery,7975,ACTIVE,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,CHICAGO TOWN CARS INC.,CHICAGO,IL,7975Livery
Taxi,5740,ACTIVE,TOYOTA,CAMRY,2010,ORANGE/BLUE,Hybrid,N,SALLONIKI TAXI LLC,CHICAGO,IL,5740Taxi
Taxi,1640,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,AMPLE SUN CAB CORP.,CHICAGO,IL,1640Taxi
Taxi,27,ACTIVE,TOYOTA,PRIUS,2014,YELLOW,Hybrid,N,ROADWAY CAB CO,CHICAGO,IL,27Taxi
Charter Sightseeing,14754,ACTIVE,FORD,ECONOLINE,2012,BLACK,Gasoline,N,JKS LIMOUSINES LLC.,CHICAGO,IL,14754Charter Sightseeing
Livery,7947,ACTIVE,LINCOLN,MKT,2014,BLACK,Gasoline,N,TIMOS MOURIKIS,CHICAGO,IL,7947Livery
Livery,7150,RESERVED,CADILLAC,XTS,2014,BLACK,Gasoline,N,T'S LIMO SERVICE INC,CHICAGO,IL,7150Livery
